Original_Field_ID,Category,Section,Table_Name,SQL_Column_Name,SQL_Data_Type,Field_Type,Label
ssv,general,,demographics_part_1,dem_ssv,DECIMAL,slider,Give your affected/operated shoulder an overall mark out of 100 (100 being normal)
ssv_rowe,general,,demographics_part_1,dem_ssv_rowe,DECIMAL,calculated,SSV (Rowe)
total_ases,general,,demographics_part_1,dem_total_ases,DECIMAL,calculated,Total ASES
total_csmasss,general,,demographics_part_1,dem_total_csmasss,DECIMAL,calculated,Total CS MASSS
total_rowe,general,,demographics_part_1,dem_total_rowe,DECIMAL,calculated,Total Rowe
shoulder_extension,general,,demographics_part_1,dem_shoulder_extension,VARCHAR(500),text,Shoulder Extension
shoulder_abduction,general,,demographics_part_1,dem_shoulder_abduction,VARCHAR(500),text,Shoulder Abduction
shoulder_er1,general,,demographics_part_1,dem_shoulder_er1,VARCHAR(500),text,Shoulder External Rotation with elbow at the side (ER1)
shoulder_er2,general,,demographics_part_1,dem_shoulder_er2,VARCHAR(500),text,Shoulder External Rotation with arm abducted at 90° (ER1)
shoulder_ir,general,,demographics_part_1,dem_shoulder_ir,VARCHAR(500),text,Shoulder Internal Rotation
pree1,general,,demographics_part_1,dem_pree1,DECIMAL,slider,How much pain in your ELBOW do you have when it is at its worst?
pree2,general,,demographics_part_1,dem_pree2,DECIMAL,slider,How much pain in your ELBOW do you have at rest?
pree3,general,,demographics_part_1,dem_pree3,DECIMAL,slider,How much pain in your ELBOW do you have lifting a heavy object?
pree4,general,,demographics_part_1,dem_pree4,DECIMAL,slider,How much pain in your ELBOW do you have when doing a task with repeated elbow movements?
pree5,general,,demographics_part_1,dem_pree5,DECIMAL,slider,How often do you have pain in your elbow?
mepimesss6,general,,demographics_part_1,dem_mepimesss6,VARCHAR(50),radio,Rate the OVERALL pain in your elbow
pree7,general,,demographics_part_1,dem_pree7,DECIMAL,slider,Can you comb hair?
pree7_mepi,general,,demographics_part_1,dem_pree7_mepi,DECIMAL,calculated,PREE7 to MEPI
pree8,general,,demographics_part_1,dem_pree8,DECIMAL,slider,Can you eat with a fork or spoon?
pree8_mepi,general,,demographics_part_1,dem_pree8_mepi,DECIMAL,calculated,PREE8 to MEPI
pree9,general,,demographics_part_1,dem_pree9,DECIMAL,slider,Can you pull a heavy object?
pree10,general,,demographics_part_1,dem_pree10,DECIMAL,slider,Can you rise from a chair pushing with arm?
pree11,general,,demographics_part_1,dem_pree11,DECIMAL,slider,Can you carry a 4kg object with your arm at your side?
pree12,general,,demographics_part_1,dem_pree12,DECIMAL,slider,Can you throw a ball?
pree13,general,,demographics_part_1,dem_pree13,DECIMAL,slider,Can you use a telephone?
pree14,general,,demographics_part_1,dem_pree14,DECIMAL,slider,Can you do up buttons on a shirt?
pree14_mepi,general,,demographics_part_1,dem_pree14_mepi,DECIMAL,calculated,PREE14 to MEPI
pree15,general,,demographics_part_1,dem_pree15,DECIMAL,slider,Can you wash your opposite armpit?
pree16,general,,demographics_part_1,dem_pree16,DECIMAL,slider,Can you tie your shoelaces?
pree16_mepi,general,,demographics_part_1,dem_pree16_mepi,DECIMAL,calculated,PREE16 to MEPI
pree17,general,,demographics_part_1,dem_pree17,DECIMAL,slider,Can you turn a doorknob and open a door?
pree18,general,,demographics_part_1,dem_pree18,DECIMAL,slider,"Can you do personal care activities (washing, dressing)?"
pree18_mepi,general,,demographics_part_1,dem_pree18_mepi,DECIMAL,calculated,PREE18 to MEPI
pree19,general,,demographics_part_1,dem_pree19,DECIMAL,slider,"Can you you do household chores (cleaning, maintenance)?"
pree20,general,,demographics_part_1,dem_pree20,DECIMAL,slider,How much difficulty do you have with work?
pree21,general,,demographics_part_1,dem_pree21,DECIMAL,slider,How much difficulty do you have with recreational activities?
pree22,general,,demographics_part_1,dem_pree22,VARCHAR(50),radio,Describe your current work
pree23,general,,demographics_part_1,dem_pree23,VARCHAR(50),radio,Describe your current sports/activities
elbow_flexex,general,,demographics_part_1,dem_elbow_flexex,DECIMAL,slider,Give the range of motion of FLEXION-EXTENSION (bending and straightening) of your affected/operated 
elbow_flexex_to_mepi_step1,general,,demographics_part_1,dem_elbow_flexex_to_mepi_step1,DECIMAL,calculated,Elbow FlexEx to MEPI Step1
elbow_flexex_to_mepi_step2,general,,demographics_part_1,dem_elbow_flexex_to_mepi_step2,DECIMAL,calculated,Elbow FlexEx to MEPI Step1
elbow_pronsup,general,,demographics_part_1,dem_elbow_pronsup,DECIMAL,slider,Give the range of motion of PRONATION-SUPINATION (turning your palm upwards and downwards with your 
elbow_strength,general,,demographics_part_1,dem_elbow_strength,DECIMAL,slider,Give the overall strength of your affected/operated elbow a mark out of 100 (100 being normal)
stability_sane,general,,demographics_part_1,dem_stability_sane,DECIMAL,slider,Give the overall stability of your affected/operated elbow a mark out of 100 (100 being normal)
stability_sane_to_mepi,general,,demographics_part_1,dem_stability_sane_to_mepi,DECIMAL,calculated,Stability SANE to MEPI
pree_total,general,,demographics_part_1,dem_pree_total,DECIMAL,calculated,PREE (Total)
mepi_total,general,,demographics_part_1,dem_mepi_total,DECIMAL,calculated,MEPI (Total)
sev,general,,demographics_part_1,dem_sev,DECIMAL,slider,Give your affected/operated elbow an overall mark out of 100 (100 being normal)
elbow_extension,general,,demographics_part_1,dem_elbow_extension,VARCHAR(500),text,Elbow Extension
pronation,general,,demographics_part_1,dem_pronation,VARCHAR(500),text,Pronation
supination,general,,demographics_part_1,dem_supination,VARCHAR(500),text,Supination
distal_humerus_fracture_fracture_sequelae_deformity_subtypes,general,,demographics_part_1,dem_distal_humerus_fracture_fracture_sequelae_deformity_subtype,VARCHAR(50),radio,DISTAL HUMERUS FRACTURE / FRACTURE SEQUELAE / DEFORMITY Subtypes
distal_humerus_fracture_classification_ao_pic,general,,demographics_part_1,dem_distal_humerus_fracture_classification_ao_pic,TEXT,display,DISTAL HUMERUS FRACTURE Classification (AO)
distal_humerus_fracture_classification_ao,general,,demographics_part_1,dem_distal_humerus_fracture_classification_ao,VARCHAR(500),text,DISTAL HUMERUS FRACTURE Classification (AO)
distal_humerus_fracture_closed_open,general,,demographics_part_1,dem_distal_humerus_fracture_closed_open,VARCHAR(50),radio,Distal Humerus Fracture Closed/Open
distal_humerus_fracture_fracture_sequelae_deformity_open_grade,general,,demographics_part_1,dem_distal_humerus_fracture_fracture_sequelae_deformity_open_gr,VARCHAR(50),radio,Distal Humerus Fracture Open Grade
distal_humerus_fracture_soft_tissue_status,general,,demographics_part_1,dem_distal_humerus_fracture_soft_tissue_status,TEXT,textarea,Distal Humerus Fracture Soft Tissue Status
distal_humerus_malunion,general,,demographics_part_1,dem_distal_humerus_malunion,VARCHAR(500),text,DISTAL HUMERUS malunion
distal_humerus_pathological_fracture_description,general,,demographics_part_1,dem_distal_humerus_pathological_fracture_description,VARCHAR(500),text,DISTAL HUMERUS Pathological Fracture Description
distal_humerus_periprosthetic_fracture_non_arthroplasty_type,general,,demographics_part_1,dem_distal_humerus_periprosthetic_fracture_non_arthroplasty_typ,VARCHAR(500),text,DISTAL HUMERUS Periprosthetic fracture - non arthroplasty type
distal_humerus_periprosthetic_fracture_arthroplasty,general,,demographics_part_1,dem_distal_humerus_periprosthetic_fracture_arthroplasty,VARCHAR(500),text,DISTAL HUMERUS Periprosthetic fracture - arthroplasty
distal_humerus_bone_deformity_other_description,general,,demographics_part_1,dem_distal_humerus_bone_deformity_other_description,VARCHAR(500),text,DISTAL HUMERUS Bone deformity (NOT fracture-related)
distal_humerus_bone_defect,general,,demographics_part_1,dem_distal_humerus_bone_defect,VARCHAR(500),text,DISTAL HUMERUS BONE DEFECT
distal_humerus_sequelae_related_to_non_arthroplasty_implant,general,,demographics_part_1,dem_distal_humerus_sequelae_related_to_non_arthroplasty_implant,JSONB,checkbox,DISTAL HUMERUS Sequelae related to non-arthroplasty implant
distal_humerus_bone_tumour_classification,general,,demographics_part_1,dem_distal_humerus_bone_tumour_classification,VARCHAR(50),radio,DISTAL HUMERUS BONE TUMOUR Classification
distal_humerus_bone_tumour_malignancy,general,,demographics_part_1,dem_distal_humerus_bone_tumour_malignancy,VARCHAR(50),radio,DISTAL HUMERUS BONE TUMOUR Malignancy
distal_humerus_bone_infection_chronicity,general,,demographics_part_1,dem_distal_humerus_bone_infection_chronicity,VARCHAR(50),radio,DISTAL HUMERUS BONE INFECTION Chronicity
distal_humerus_bone_infection_aetiology,general,,demographics_part_1,dem_distal_humerus_bone_infection_aetiology,VARCHAR(50),radio,DISTAL HUMERUS BONE INFECTION Aetiology
distal_humerus_bone_infection_organsim,general,,demographics_part_1,dem_distal_humerus_bone_infection_organsim,VARCHAR(50),radio,DISTAL HUMERUS BONE INFECTION Organsim
ulnohumeral_radiocapitellar_or_ulnoradial_forearm_radiocapitellar_instability_chronicity,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_or_ulnoradial_forearm_radiocapi,VARCHAR(50),radio,Ulnohumeral & Radiocapitellar Articulations INSTABILITY - chronicity
ulnohumeral_radiocapitellar_or_ulnoradial_forearm_radiocapitellar_instability_joints_invol,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_or_ulnoradial_forearm_radiocapi,JSONB,checkbox,Ulnohumeral & Radiocapitellar Articulations INSTABILITY - Joints involved
ulnohumeral_instability_type_direction_of_forearm_displacement,general,,demographics_part_1,dem_ulnohumeral_instability_type_direction_of_forearm_displacem,JSONB,checkbox,Ulnohumeral Instability type - direction of forearm displacement
ulnohumeral_radiocapitellar_articulations_instability_pathology,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_articulations_instability_patho,JSONB,checkbox,Ulnohumeral + Radiocapitellar articulations instability pathology
ulnohumeral_radiocapitellar_articulations_instability_soft_tissue_pathology_ligaments_involved,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_articulations_instability_soft_,JSONB,checkbox,Ulnohumeral + Radiocapitellar articulations instability soft tissue pathology - ligaments involved
rcl_instability_soft_tissue_pathology,general,,demographics_part_1,dem_rcl_instability_soft_tissue_pathology,JSONB,checkbox,RCL instability soft tissue pathology
lucl_instability_soft_tissue_pathology,general,,demographics_part_1,dem_lucl_instability_soft_tissue_pathology,JSONB,checkbox,LUCL instability soft tissue pathology
annular_ligament_instability_soft_tissue_pathology,general,,demographics_part_1,dem_annular_ligament_instability_soft_tissue_pathology,JSONB,checkbox,Annular ligament instability soft tissue pathology
anterior_band_mucl_instability_soft_tissue_pathology,general,,demographics_part_1,dem_anterior_band_mucl_instability_soft_tissue_pathology,JSONB,checkbox,Anterior band MUCL instability soft tissue pathology
posterior_band_mucl_instability_soft_tissue_pathology,general,,demographics_part_1,dem_posterior_band_mucl_instability_soft_tissue_pathology,JSONB,checkbox,Posterior band MUCL instability soft tissue pathology
anterior_capsule_instability_soft_tissue_pathology,general,,demographics_part_1,dem_anterior_capsule_instability_soft_tissue_pathology,JSONB,checkbox,Anterior capsule instability soft tissue pathology
osborne_cotterill_ligament_instability_soft_tissue_pathology,general,,demographics_part_1,dem_osborne_cotterill_ligament_instability_soft_tissue_patholog,JSONB,checkbox,Osborne-Cotterill ligament instability soft tissue pathology
other_instability_soft_tissue_pathology,general,,demographics_part_1,dem_other_instability_soft_tissue_pathology,JSONB,checkbox,Other instability soft tissue pathology
ulnohumeral_radiocapitellar_articulations_instability_acute_fracture_dislocation_bones_involve,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_articulations_instability_acute,JSONB,checkbox,Ulnohumeral + Radiocapitellar articulations instability - acute fracture dislocation - bones involve
ulnohumeral_radiocapitellar_articulations_instability_attritional_bone_loss_bones_involved,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_articulations_instability_attri,JSONB,checkbox,Ulnohumeral + Radiocapitellar articulations instability - attritional bone loss - bones involved
distal_humerus_classification,general,,demographics_part_1,dem_distal_humerus_classification,VARCHAR(500),text,Distal humerus classification
radial_head_neck_classification,general,,demographics_part_1,dem_radial_head_neck_classification,VARCHAR(500),text,Radial head / neck classification
coronoid_process_classification,general,,demographics_part_1,dem_coronoid_process_classification,VARCHAR(500),text,Coronoid process classification
olecranon_process_classification,general,,demographics_part_1,dem_olecranon_process_classification,VARCHAR(500),text,Olecranon process classification
other_bone_classification,general,,demographics_part_1,dem_other_bone_classification,VARCHAR(500),text,Other bone classification
uh_rc_ur_rc_arthropathy_type,general,,demographics_part_1,dem_uh_rc_ur_rc_arthropathy_type,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations ARTHROPATHY Type
uh_rc_ur_rc_arthropathy_joints_involved,general,,demographics_part_1,dem_uh_rc_ur_rc_arthropathy_joints_involved,JSONB,checkbox,Ulnohumeral / Radiocapitellar Articulations ARTHROPATHY Joints Involved
uh_rc_ur_rc_arthropathy_bone_pathology_humerus,general,,demographics_part_1,dem_uh_rc_ur_rc_arthropathy_bone_pathology_humerus,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations ARTHROPATHY Bone pathology - humerus
uh_rc_ur_rc_arthropathy_bone_pathology_proximal_ulna,general,,demographics_part_1,dem_uh_rc_ur_rc_arthropathy_bone_pathology_proximal_ulna,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations ARTHROPATHY Bone pathology - proximal ulna
uh_rc_ur_rc_arthropathy_bone_pathology_proximal_radius,general,,demographics_part_1,dem_uh_rc_ur_rc_arthropathy_bone_pathology_proximal_radius,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations ARTHROPATHY Bone pathology - proximal radius
uh_rc_ur_rc_arthropathy_additional_diagnostic_pathological_information,general,,demographics_part_1,dem_uh_rc_ur_rc_arthropathy_additional_diagnostic_pathological_,TEXT,textarea,Ulnohumeral / Radiocapitellar ARTHROPATHY Additional Diagnostic / Pathological Information
uh_rc_ur_rc_stiffness_joints,general,,demographics_part_1,dem_uh_rc_ur_rc_stiffness_joints,JSONB,checkbox,Ulnohumeral / Radiocapitellar Articulations STIFFNESS WITHOUT / MINIMAL ARTHROPATHY Joints Involved
uh_rc_ur_rc_stiffness_classification,general,,demographics_part_1,dem_uh_rc_ur_rc_stiffness_classification,JSONB,checkbox,Ulnohumeral / Radiocapitellar Articulations STIFFNESS WITHOUT / MINIMAL ARTHROPATHY Classification
uh_rc_ur_rc_stiffness_additional_diagnostic_pathological_information,general,,demographics_part_1,dem_uh_rc_ur_rc_stiffness_additional_diagnostic_pathological_in,TEXT,textarea,Ulnohumeral / Radiocapitellar Articulations STIFFNESS WITHOUT / MINIMAL ARTHROPATHY Additional Diagn
elbow_and_forearm_articulations_impingement_type,general,,demographics_part_1,dem_elbow_and_forearm_articulations_impingement_type,JSONB,checkbox,Ulnohumeral / Radiocapitellar Articulations Impingement Type
uh_rc_ur_rc_localised_articular_pathology_location,general,,demographics_part_1,dem_uh_rc_ur_rc_localised_articular_pathology_location,VARCHAR(500),text,Ulnohumeral / Radiocapitellar Articulations LOCALISED ARTICULAR CARTILAGE PATHOLOGY Location
uh_rc_ur_rc_localised_articular_pathology_classification_aetiology,general,,demographics_part_1,dem_uh_rc_ur_rc_localised_articular_pathology_classification_ae,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations LOCALISED ARTICULAR CARTILAGE PATHOLOGY Classification -
uh_rc_ur_rc_localised_articular_pathology_ocd_classification_guhl_pic,general,,demographics_part_1,dem_uh_rc_ur_rc_localised_articular_pathology_ocd_classificatio,TEXT,display,Ulnohumeral / Radiocapitellar Articulations LOCALISED ARTICULAR CARTILAGE PATHOLOGY OCD Classificati
uh_rc_ur_rc_localised_articular_pathology_ocd_classification_guhl,general,,demographics_part_1,dem_uh_rc_ur_rc_localised_articular_pathology_ocd_classificatio,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations LOCALISED ARTICULAR CARTILAGE PATHOLOGY OCD Classificati
uh_rc_ur_rc_localised_articular_pathology_additional_diagnostic_pathological_information,general,,demographics_part_1,dem_uh_rc_ur_rc_localised_articular_pathology_additional_diagno,TEXT,textarea,Ulnohumeral / Radiocapitellar Articulations LOCALISED ARTICULAR CARTILAGE PATHOLOGY Additional Diagn
uh_rc_ur_rc_septic_arthritis_location,general,,demographics_part_1,dem_uh_rc_ur_rc_septic_arthritis_location,VARCHAR(500),text,Ulnohumeral / Radiocapitellar Articulations SEPTIC ARTHRITIS Location
uh_rc_ur_rc_septic_arthritis_chronicity,general,,demographics_part_1,dem_uh_rc_ur_rc_septic_arthritis_chronicity,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations SEPTIC ARTHRITIS Classification - chronicity
uh_rc_ur_rc_septic_arthritis_pathogenesis,general,,demographics_part_1,dem_uh_rc_ur_rc_septic_arthritis_pathogenesis,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations SEPTIC ARTHRITIS Classification - pathogenesis
uh_rc_ur_rc_septic_arthritis_organism,general,,demographics_part_1,dem_uh_rc_ur_rc_septic_arthritis_organism,VARCHAR(50),radio,Ulnohumeral / Radiocapitellar Articulations SEPTIC ARTHRITIS Classification - organism
uh_rc_ur_rc_septic_arthritis_additional_diagnostic_pathological_information,general,,demographics_part_1,dem_uh_rc_ur_rc_septic_arthritis_additional_diagnostic_patholog,TEXT,textarea,Ulnohumeral / Radiocapitellar Articulations SEPTIC ARTHRITIS Additional Diagnostic / Pathological In
elbow_arthroplasty_sequelae_mayo_classification,general,,demographics_part_1,dem_elbow_arthroplasty_sequelae_mayo_classification,VARCHAR(500),text,ELBOW ARTHROPLASTY SEQUELAE Mayo Classification
ulnohumeral_radiocapitellar_symptomatic_plica_location,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_symptomatic_plica_location,JSONB,checkbox,Ulnohumeral / Radiocapitellar Symptomatic Plica Location
ulnohumeral_radiocapitellar_sequelae_related_to_non_arthroplasty_implants,general,,demographics_part_1,dem_ulnohumeral_radiocapitellar_sequelae_related_to_non_arthrop,JSONB,checkbox,Ulnohumeral / Radiocapitellar Sequelae related to non-arthroplasty implants
forearm_articulation_and_or_pruj_and_or_druj_instability_type_chronicity,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_instability_ty,VARCHAR(50),radio,Forearm articulation and/or PRUJ and/or DRUJ - instability type - chronicity
forearm_articulation_and_or_pruj_and_or_druj_instability_joints_involved,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_instability_jo,JSONB,checkbox,Forearm articulation and/or PRUJ and/or DRUJ - instability - joints involved
forearm_articulation_and_or_pruj_and_or_druj_ulnoradial_instability_type,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_ulnoradial_ins,JSONB,checkbox,Forearm articulation and/or PRUJ and/or DRUJ - ulnoradial instability type
forearm_articulation_and_or_pruj_and_or_druj_instability_pathology,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_instability_pa,JSONB,checkbox,Forearm articulation and/or PRUJ and/or DRUJ - instability pathology
forearm_articulation_and_or_pruj_and_or_druj_instability_soft_tissue_pathology_ligaments_involved,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_instability_so,JSONB,checkbox,Forearm articulation and/or PRUJ and/or DRUJ - instability soft tissue pathology - ligaments involve
quadrate_ligament_instability_soft_tissue_pathology,general,,demographics_part_1,dem_quadrate_ligament_instability_soft_tissue_pathology,JSONB,checkbox,Quadrate ligament instability soft tissue pathology
proximal_oblique_cord_instability_soft_tissue_pathology,general,,demographics_part_1,dem_proximal_oblique_cord_instability_soft_tissue_pathology,JSONB,checkbox,Proximal oblique cord instability soft tissue pathology
interosseus_membrane_instability_soft_tissue_pathology,general,,demographics_part_1,dem_interosseus_membrane_instability_soft_tissue_pathology,JSONB,checkbox,Interosseus membrane instability soft tissue pathology
distal_oblique_band_instability_soft_tissue_pathology,general,,demographics_part_1,dem_distal_oblique_band_instability_soft_tissue_pathology,JSONB,checkbox,Distal oblique band instability soft tissue pathology
druj_capsule_tfc_instability_soft_tissue_pathology,general,,demographics_part_1,dem_druj_capsule_tfc_instability_soft_tissue_pathology,JSONB,checkbox,DRUJ capsule/TFC instability soft tissue pathology
forearm_articulation_and_or_pruj_and_or_druj_acute_fracture_dislocation_bones_involved,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_acute_fracture,JSONB,checkbox,Forearm articulation and/or PRUJ and/or DRUJ - acute fracture dislocation - bones involved
forearm_articulation_and_or_pruj_and_or_druj_instability_bone_loss_bones_involved,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_instability_bo,JSONB,checkbox,Forearm articulation and/or PRUJ and/or DRUJ - instability bone loss - bones involved
forearm_articulation_and_or_pruj_and_or_druj_sequelae_related_to_non_arthroplasty_implants,general,,demographics_part_1,dem_forearm_articulation_and_or_pruj_and_or_druj_sequelae_relat,JSONB,checkbox,Forearm articulation and/or PRUJ and/or DRUJ Sequelae related to non-arthroplasty implants
distal_biceps_tendon_tear_type_chronicity,general,,demographics_part_1,dem_distal_biceps_tendon_tear_type_chronicity,VARCHAR(50),radio,DISTAL BICEPS TENDON Tear type - chronicity
distal_biceps_tendon_tear_type_thickness,general,,demographics_part_1,dem_distal_biceps_tendon_tear_type_thickness,VARCHAR(50),radio,DISTAL BICEPS TENDON Tear type - thickness
distal_biceps_tendon_sequelae_related_to_non_arthroplasty_implant,general,,demographics_part_1,dem_distal_biceps_tendon_sequelae_related_to_non_arthroplasty_i,JSONB,checkbox,DISTAL BICEPS TENDON - Sequelae related to non-arthroplasty implant
distal_triceps_tendon_tear_type_chronicity,general,,demographics_part_1,dem_distal_triceps_tendon_tear_type_chronicity,VARCHAR(50),radio,DISTAL TRICEPS TENDON Tear type - chronicity
distal_triceps_tendon_tear_type_thickness,general,,demographics_part_1,dem_distal_triceps_tendon_tear_type_thickness,VARCHAR(50),radio,DISTAL TRICEPS TENDON Tear type - thickness
distal_triceps_tendon_sequelae_related_to_non_arthroplasty_implant,general,,demographics_part_1,dem_distal_triceps_tendon_sequelae_related_to_non_arthroplasty_,JSONB,checkbox,DISTAL TRICEPS TENDON - Sequelae related to non-arthroplasty implant
common_extensor_origin_tear_type_chronicity,general,,demographics_part_1,dem_common_extensor_origin_tear_type_chronicity,VARCHAR(50),radio,COMMON EXTENSOR ORIGIN Tear type - chronicity
common_extensor_origin_tear_type_thickness,general,,demographics_part_1,dem_common_extensor_origin_tear_type_thickness,VARCHAR(50),radio,COMMON EXTENSOR ORIGIN Tear type - thickness
common_extensor_origin_sequelae_related_to_non_arthroplasty_implant,general,,demographics_part_1,dem_common_extensor_origin_sequelae_related_to_non_arthroplasty,JSONB,checkbox,COMMON EXTENSOR ORIGIN - Sequelae related to non-arthroplasty implant
