Field Label,SQL_Column_Name
Scapula fracture sequelae deformity subtypes,scapula_fracture_sequelae_deformity_subtypes
Scapula fracture AO,scapula_fracture_ao
Scapula Stress fracture classification,scapula_stress_fracture_classification
Scapula Non-union classification,scapula_non_union_classification
Scapula Malunion classification,scapula_malunion_classification
Scapular fracture other classification,scapular_fracture_other_classification
Scapula fracture acromion types Kuhn,scapula_fracture_acromion_types_kuhn
Scapula spine fracture,scapula_spine_fracture
Scapula fracture coracoid types Eyres,scapula_fracture_coracoid_types_eyres
Scapula body fracture ,scapula_body_fracture
Scapula neck fracture,scapula_neck_fracture
Glenoid fracture Ideberg,glenoid_fracture_ideberg
Scapula Fracture Classification Closed/Open,scapula_fracture_classification_closed_open
Scapula Fracture Open Grade (Gustilo),scapula_fracture_open_grade_gustilo_
Scapula deformity,scapula_deformity
Scapula tumour Classification,scapula_tumour_classification
Scapula infection Chronicity,scapula_infection_chronicity
Scapula infection Aetiology,scapula_infection_aetiology
Scapula infection Organsim,scapula_infection_organsim
Scapula bone loss extra articular location,scapula_bone_loss_extra_articular_location
Scapula sequelae non-arthroplasty implants,scapula_sequelae_non_arthroplasty_implants
Scapula Other,scapula_other
Clavicle Diagnosis,clavicle_diagnosis
Clavicle fracture subtypes AO,clavicle_fracture_subtypes_ao
Clavicle fracture other classification,clavicle_fracture_other_classification
Clavicle fracture closed or open,clavicle_fracture_closed_or_open
Clavicle Fracture Open Grade (Gustilo),clavicle_fracture_open_grade_gustilo_
Clavicle deformity,clavicle_deformity
Clavicle tumour pathology,clavicle_tumour_pathology
Clavicle infection chronicity,clavicle_infection_chronicity
Clavicle infection aetiology,clavicle_infection_aetiology
Clavicle infection organsim,clavicle_infection_organsim
Clavicle bone loss extraarticular,clavicle_bone_loss_extraarticular
Clavicle sequelae non-arthroplasty implants,clavicle_sequelae_non_arthroplasty_implants
Clavicle other,clavicle_other
ACJ diagnosis,acj_diagnosis
ACJ stability instability,acj_stability_instability
ACJ instability type Rockwood,acj_instability_type_rockwood
ACJ Instability pathology,acj_instability_pathology
CC instability pathology,cc_instability_pathology
ACJ arthropathy type,acj_arthropathy_type
ACJ arthropathy severity,acj_arthropathy_severity
ACJ arthropathy bone pathology clavicle,acj_arthropathy_bone_pathology_clavicle
ACJ arthropathy bone pathology acromion,acj_arthropathy_bone_pathology_acromion
ACJ osteolysis distal clavicle type,acj_osteolysis_distal_clavicle_type
ACJ osteolysis distal clavicle severity,acj_osteolysis_distal_clavicle_severity
ACJ septic arthritis chronicity,acj_septic_arthritis_chronicity
"ACJ septic arthritis pathogenesis
",acj_septic_arthritis_pathogenesis
ACJ septic arthritis organsim,acj_septic_arthritis_organsim
ACJ cyst,acj_cyst
ACJ sequelae non-arthroplasty implants,acj_sequelae_non_arthroplasty_implants
ACJ other,acj_other
Subacromial subcoracoid subdeltoid space diagnosis,subacromial_subcoracoid_subdeltoid_space_diagnosis
Subacromial bursa,subacromial_bursa
Subacromial impingement,subacromial_impingement
Subcoracoid bursa,subcoracoid_bursa
SA SD SC sequelae non arthroplasty implants,sa_sd_sc_sequelae_non_arthroplasty_implants
SA SD SC other,sa_sd_sc_other
Rotator cuff diagnosis,rotator_cuff_diagnosis
Subscapularis,subscapularis
Subscapularis tear vertical size,subscapularis_tear_vertical_size
Subscapularis tendon quality,subscapularis_tendon_quality
Supraspinatus,supraspinatus
Supraspinatus Tear AP Width,supraspinatus_tear_ap_width
Infraspinatus,infraspinatus
Infraspinatus tear AP width,infraspinatus_tear_ap_width
Teres minor,teres_minor
Teres minor tear AP width,teres_minor_tear_ap_width
Posterosuperior tear delamination,posterosuperior_tear_delamination
Posterosuperior tear type,posterosuperior_tear_type
Posterosuperior tendon quality,posterosuperior_tendon_quality
Subscapularis Goutallier,subscapularis_goutallier
Supraspinatus Goutallier,supraspinatus_goutallier
Infraspinatus Goutallier,infraspinatus_goutallier
Teres minor Goutallier,teres_minor_goutallier
Subscapularis sarcopenia,subscapularis_sarcopenia
Supraspinatus sarcopenia,supraspinatus_sarcopenia
Infraspinatus sarcopenia,infraspinatus_sarcopenia
Teres minor sarcopenia,teres_minor_sarcopenia
Subscapularis myosteatosis,subscapularis_myosteatosis
Supraspinatus myosteatosis,supraspinatus_myosteatosis
Infraspinatus myosteatosis,infraspinatus_myosteatosis
Teres minor myosteatosis,teres_minor_myosteatosis
Rotator cuff sequelae non arthroplasty implants,rotator_cuff_sequelae_non_arthroplasty_implants
Rotator cuff other,rotator_cuff_other
Hamada,hamada
ROHI,rohi
Rotator cuff functional state,rotator_cuff_functional_state
Rotator cuff tear stage GS,rotator_cuff_tear_stage_gs
Biceps anchor 11 to 1 oclock diagnosis,biceps_anchor_11_to_1_oclock_diagnosis
SLAP tear type,slap_tear_type
Biceps anchor sequelae non arthroplasty implants,biceps_anchor_sequelae_non_arthroplasty_implants
Biceps anchor other,biceps_anchor_other
Biceps pulley diagnosis,biceps_pulley_diagnosis
LHB diagnosis,lhb_diagnosis
LHB instability direction,lhb_instability_direction
Intraarticular LHB synovitis tear,intraarticular_lhb_synovitis_tear
Extraarticular LHB synovitis tear,extraarticular_lhb_synovitis_tear
LHB sequelae non arthroplasty implants,lhb_sequelae_non_arthroplasty_implants
LHB other,lhb_other
Glenohumeral joint diagnosis,glenohumeral_joint_diagnosis
Synovial fluid volume,synovial_fluid_volume
Synovial fluid type,synovial_fluid_type
Synovium,synovium
Loose bodies,loose_bodies
Loose body details,loose_body_details
GHJ stability,ghj_stability
GHJ instability direction,ghj_instability_direction
GHJ instability pathology,ghj_instability_pathology
GHJ arthropathy type,ghj_arthropathy_type
GHJ arthropathy severity,ghj_arthropathy_severity
Complications shoulder arthroplasty subtypes,complications_shoulder_arthroplasty_subtypes
Shoulder arthoplasty loosening location,shoulder_arthoplasty_loosening_location
Periprothetic fracture acute location,periprothetic_fracture_acute_location
Periprosthetic fracture stress location,periprosthetic_fracture_stress_location
Shoulder stiffness without GHJ arthropathy type,shoulder_stiffness_without_ghj_arthropathy_type
Shoulder stiffness capsular aetiology,shoulder_stiffness_capsular_aetiology
Shoulder stiffness capsular severity,shoulder_stiffness_capsular_severity
GHJ septic arthritis chronicity,ghj_septic_arthritis_chronicity
GHJ septic arthritis pathogenesis,ghj_septic_arthritis_pathogenesis
GHJ septic arthritis organism,ghj_septic_arthritis_organism
GHJ sequelae non arthroplasty implants,ghj_sequelae_non_arthroplasty_implants
Glenohumeral Joint Other Diagnosis,glenohumeral_joint_other_diagnosis
Glenoid labrum anterior 1 to 6 oclock diagnosis,glenoid_labrum_anterior_1_to_6_oclock_diagnosis
Glenoid labrum anterior tear type,glenoid_labrum_anterior_tear_type
Glenoid labrum anterior tear location,glenoid_labrum_anterior_tear_location
Anterior paralabral cyst location,anterior_paralabral_cyst_location
Anterior labrum pathology other,anterior_labrum_pathology_other
Glenoid labrum posterior 1 to 6 oclock diagnosis,glenoid_labrum_posterior_1_to_6_oclock_diagnosis
Glenoid labrum posterior tear type,glenoid_labrum_posterior_tear_type
Glenoid labrum posterior tear location,glenoid_labrum_posterior_tear_location
Posterior paralabral cyst location,posterior_paralabral_cyst_location
Posterior labrum pathology other,posterior_labrum_pathology_other
Glenohumeral capsule volume,glenohumeral_capsule_volume
Glenohumeral capsule quality,glenohumeral_capsule_quality
Glenohumeral capsule tear,glenohumeral_capsule_tear
Glenohumeral capsule tear location,glenohumeral_capsule_tear_location
Rotator interval,rotator_interval
Glenoid arthrosis grade Outerbridge,glenoid_arthrosis_grade_outerbridge
Bony Bankart lesion size,bony_bankart_lesion_size
Glenoid attritional bone loss size,glenoid_attritional_bone_loss_size
Walch,walch
Favard,favard
Arthrosis glenoid bone defect,arthrosis_glenoid_bone_defect
Shoulder arthroplasty glenoid bone defect,shoulder_arthroplasty_glenoid_bone_defect
GLAC pathology type,glac_pathology_type
GLAC pathology location,glac_pathology_location
GLAC pathology depth,glac_pathology_depth
Humeral arthrosis grade Outerbridge,humeral_arthrosis_grade_outerbridge
Hill sachs location,hill_sachs_location
Hill sachs depth,hill_sachs_depth
Arthrosis humeral bone defect,arthrosis_humeral_bone_defect
Shoulder arthroplasty humeral bone defect,shoulder_arthroplasty_humeral_bone_defect
HLAC pathology type,hlac_pathology_type
HLAC pathology location,hlac_pathology_location
HLAC pathology depth,hlac_pathology_depth
Plexus diagnosis,plexus_diagnosis
Plexus mechanical neuropathy location aetiology,plexus_mechanical_neuropathy_location_aetiology
Plexus mechanical neuropathy grade Seddon,plexus_mechanical_neuropathy_grade_seddon
Compressive lesion plexus,compressive_lesion_plexus
Peripheral nerve around shoulder girdle diagnosis ,peripheral_nerve_around_shoulder_girdle_diagnosis
PN mechanical neuropathy aetiology location,pn_mechanical_neuropathy_aetiology_location
PN mechanical neuropathy grade Seddon,pn_mechanical_neuropathy_grade_seddon
Compressive lesion PN,compressive_lesion_pn
Deltoid diagnosis,deltoid_diagnosis
Deltoid tear avulsion dehiscence chronicity,deltoid_tear_avulsion_dehiscence_chronicity
Deltoid tear avulsion dehiscence location,deltoid_tear_avulsion_dehiscence_location
Deltoid sequelae non arthroplasty implants,deltoid_sequelae_non_arthroplasty_implants
Deltoid other,deltoid_other
Pec minor diagnosis,pec_minor_diagnosis
Pec minor tear chronicity,pec_minor_tear_chronicity
Pec minor tear avulsion dehiscence location,pec_minor_tear_avulsion_dehiscence_location
Pec minor tightness,pec_minor_tightness
Pec minor sequelae non arthroplasty implants ,pec_minor_sequelae_non_arthroplasty_implants
Pec minor other,pec_minor_other
Pec major diagnosis,pec_major_diagnosis
Pec major tear chronicity,pec_major_tear_chronicity
Pec major tear tendon involvement,pec_major_tear_tendon_involvement
Pec major tear Location,pec_major_tear_location
Pec major sequelae non-arthroplasty implants,pec_major_sequelae_non_arthroplasty_implants
Pec major other,pec_major_other
Latissimus dorsi diagnosis,latissimus_dorsi_diagnosis
Lat dorsi tear chronicity,lat_dorsi_tear_chronicity
Lat dorsi tear location,lat_dorsi_tear_location
Lat dorsi tightness,lat_dorsi_tightness
Lat dorsi sequelae non arthroplasty implants ,lat_dorsi_sequelae_non_arthroplasty_implants
Lat dorsi other,lat_dorsi_other
Teres major diagnosis,teres_major_diagnosis
Teres major tear chronicity,teres_major_tear_chronicity
Teres major tear location,teres_major_tear_location
Teres major sequelae non arthroplasty implants,teres_major_sequelae_non_arthroplasty_implants
Teres major other,teres_major_other
Proximal humerus diagnosis,proximal_humerus_diagnosis
Prox humerus bone quality,prox_humerus_bone_quality
Proximal humeral cystic lesion,proximal_humeral_cystic_lesion
Prox humeral fracture sequelae deformity subtype,prox_humeral_fracture_sequelae_deformity_subtype
Prox humeral fracture Hertel any,prox_humeral_fracture_hertel_any
Prox humerus fracture Hertel displaced,prox_humerus_fracture_hertel_displaced
Prox humerus fracture closed or open,prox_humerus_fracture_closed_or_open
Prox Humerus Fracture Open Grade (Gustilo),prox_humerus_fracture_open_grade_gustilo_
Head fragment dislocated,head_fragment_dislocated
Head split,head_split
Head fragment orientation,head_fragment_orientation
Medial hinge,medial_hinge
Calcar length,calcar_length
Proximal humerus deformity,proximal_humerus_deformity
Prox humerus tumour classification,prox_humerus_tumour_classification
"Prox humerus infection chronicity
",prox_humerus_infection_chronicity
"Proximal humerus infection Aetiology
",proximal_humerus_infection_aetiology
Prox humerus infection Organsim,prox_humerus_infection_organsim
Prox humerus bone loss extraarticular,prox_humerus_bone_loss_extraarticular
Prox humerus sequelae non-arthroplasty implants,prox_humerus_sequelae_non_arthroplasty_implants
Prox humerus other,prox_humerus_other
Humerus diaphysis diagnosis,humerus_diaphysis_diagnosis
Hum diaph fracture sequelae deformity subtypes,hum_diaph_fracture_sequelae_deformity_subtypes
Hum diaph fracture type AO,hum_diaph_fracture_type_ao
Hum diaph classification other,hum_diaph_classification_other
Hum diaph fracture closed or open,hum_diaph_fracture_closed_or_open
Hum diaph open grade Gustilo,hum_diaph_open_grade_gustilo
Hum diaphysis deformity,hum_diaphysis_deformity
Hum diaph tumour type,hum_diaph_tumour_type
"Hum diaph infection chronicity
",hum_diaph_infection_chronicity
"Hum diaph infection aetiology
",hum_diaph_infection_aetiology
Hum diaph infection organsim,hum_diaph_infection_organsim
Hum diaph bone loss extraarticular,hum_diaph_bone_loss_extraarticular
Hum diaph sequelae non arthroplasty implants,hum_diaph_sequelae_non_arthroplasty_implants
Hum diaph other,hum_diaph_other
Fascia diagnosis,fascia_diagnosis
Compartment syndrome type,compartment_syndrome_type
Compartments involved,compartments_involved
Fascia infection chronicity,fascia_infection_chronicity
Fascia infection aetiology,fascia_infection_aetiology
Fascia infection organism,fascia_infection_organism
Infection diagnosis,infection_diagnosis
Surgical site infection chronicity,surgical_site_infection_chronicity
Surgical site infection aetiology,surgical_site_infection_aetiology
Surgical site infection organism,surgical_site_infection_organism
Infection other location,infection_other_location
Infection other chronicity,infection_other_chronicity
Infection other aetiology,infection_other_aetiology
Infection other organism,infection_other_organism
Other pathology diagnosis,other_pathology_diagnosis
Record history for the encounter,record_history_for_the_encounter
Symptoms,symptoms
Pain location,pain_location
Stiffness,stiffness
Weakness,weakness
Instability number of episodes,instability_number_of_episodes
Deformity,deformity
Parasthaesia Dysaesthesia location,parasthaesia_dysaesthesia_location
Symptoms other,symptoms_other
Symptom onset,symptom_onset
Mechanism of Injury,mechanism_of_injury
Date of injury,date_of_injury
Symptom course,symptom_course
Effects of symptoms,effects_of_symptoms
Prior treatment,prior_treatment
Prior treatment other,prior_treatment_other
Examination to record,examination_to_record
Shoulder ROM active flexion ,shoulder_rom_active_flexion
Shoulder ROM active abduction,shoulder_rom_active_abduction
Shoulder ROM active ER1,shoulder_rom_active_er1
Shoulder ROM active ER CMS,shoulder_rom_active_er_cms
Shoulder ROM active ER2,shoulder_rom_active_er2
Shoulder ROM active IR,shoulder_rom_active_ir
Shoulder ROM passive flexion,shoulder_rom_passive_flexion
Shoulder ROM passive abduction,shoulder_rom_passive_abduction
Shoulder ROM passive ER1,shoulder_rom_passive_er1
Shoulder ROM passive ER2,shoulder_rom_passive_er2
Shoulder ROM passive IR,shoulder_rom_passive_ir
Shoulder lag drop arm,shoulder_lag_drop_arm
Shoulder lag ER1,shoulder_lag_er1
Shoulder lag ER2,shoulder_lag_er2
Shoulder lag IR,shoulder_lag_ir
Shoulder power flexion,shoulder_power_flexion
Shoulder power ER1,shoulder_power_er1
Shoulder power ER2,shoulder_power_er2
Shoulder power IR,shoulder_power_ir
ScT crepitus,sct_crepitus
STAM,stam
Flexion resistance test 30,flexion_resistance_test_30
Flexion resistance test 60,flexion_resistance_test_60
Flexion resistance test 90,flexion_resistance_test_90
Scapula repositioning test (trapezius),scapula_repositioning_test_trapezius_
Scapula compression test (serratus),scapula_compression_test_serratus_
Trapezius,trapezius
Power Rhomboid,power_rhomboid
Power Serratus Anterior,power_serratus_anterior
Power Deltoid Anterior,power_deltoid_anterior
Power Deltoid Middle,power_deltoid_middle
Power Deltoid Posterior,power_deltoid_posterior
Power Subscapularis,power_subscapularis
Power Supraspinatus,power_supraspinatus
Power Infraspinatus,power_infraspinatus
Power Teres Minor,power_teres_minor
Power Lat Dorsi,power_lat_dorsi
Power Pec Major,power_pec_major
Power Biceps,power_biceps
Power Triceps,power_triceps
Power Supinator / Biceps,power_supinator_biceps
Power Pronator Teres,power_pronator_teres
Power ECRL,power_ecrl
Power ECU,power_ecu
Power EPL,power_epl
Power FCR,power_fcr
Power FPL,power_fpl
Power FDP 2,power_fdp_2
Power FDP 5,power_fdp_5
Power Abductor digiti minimi,power_abductor_digiti_minimi
Impingement signs,impingement_signs
ACJ tenderness,acj_tenderness
ACJ Irritability,acj_irritability
ACJ deformity,acj_deformity
ACJ instability,acj_instability
LHB tenderness,lhb_tenderness
Sulcus sign,sulcus_sign
Gagey hyperabduction test,gagey_hyperabduction_test
Anterior apprehension,anterior_apprehension
Posterior instability testing,posterior_instability_testing
SCJ tenderness,scj_tenderness
SCJ irritability,scj_irritability
SCJ deformity,scj_deformity
SCJ instability,scj_instability
TOS signs,tos_signs
NSPCN signs,nspcn_signs
Peripheral nerve examination,peripheral_nerve_examination
Bony tenderness ,bony_tenderness
Treatment Plan,treatment_plan
Primary surgery ,primary_surgery
Secondary surgery definite ,secondary_surgery_definite
Secondary surgery possible,secondary_surgery_possible
Surgery other,surgery_other
Physiotherapy protocol,physiotherapy_protocol
Injection - other,injection_other
Referral details,referral_details
Treatment - other,treatment_other
Surgery side,surgery_side
Surgery title,surgery_title
Surgery area,surgery_area
Hospital,hospital
SNOMED surgery codes ,snomed_surgery_codes
MBS item numbers,mbs_item_numbers
Surgeon,surgeon
Assistant surgeon,assistant_surgeon
Anaesthetist,anaesthetist
Anaesthetic type,anaesthetic_type
Primary or revision,primary_or_revision
Primary surgeon if revision,primary_surgeon_if_revision
Intention,intention
Multistage stage,multistage_stage
Approach,approach
Open approach used,open_approach_used
Arthroscopic / endoscopic portals used,arthroscopic_endoscopic_portals_used
Approach other details,approach_other_details
Guidance,guidance
Guidance other details,guidance_other_details
DVT prophylaxis intraoperative,dvt_prophylaxis_intraoperative
DVT prophylaxis detail,dvt_prophylaxis_detail
Antibiotic prophylaxis,antibiotic_prophylaxis
Positioning,positioning
Scapulothoracic treatment,scapulothoracic_treatment
Scapulothoracic tendon transfer type ,scapulothoracic_tendon_transfer_type
Scapulothoracic tendon transfer fixation,scapulothoracic_tendon_transfer_fixation
Scapulothoracic treatment of infection,scapulothoracic_treatment_of_infection
Scapulothoracic treatment other,scapulothoracic_treatment_other
Scapulothoracic technique details,scapulothoracic_technique_details
Scapulothoracic implant details,scapulothoracic_implant_details
Scapulothoracic intraoperative complications,scapulothoracic_intraoperative_complications
Sternum treatment,sternum_treatment
Sternum fracture reduction,sternum_fracture_reduction
Sternum fixation technique,sternum_fixation_technique
Sternum recon bone graft type,sternum_recon_bone_graft_type
Sternum recon bone graft fixation type,sternum_recon_bone_graft_fixation_type
Sternum osteotomy location,sternum_osteotomy_location
Sternum osteotomy type,sternum_osteotomy_type
Sternum extent of removal of implants,sternum_extent_of_removal_of_implants
Sternum implants removed,sternum_implants_removed
Sternum implants retained,sternum_implants_retained
Sternum treatment of infection,sternum_treatment_of_infection
Sternum treatment other,sternum_treatment_other
Sternum technique details ,sternum_technique_details
Sternum implant details,sternum_implant_details
Sternum intraoperative complications,sternum_intraoperative_complications
MSJ treatment,msj_treatment
MSJ arthrodesis type,msj_arthrodesis_type
MSJ arthrodesis implant,msj_arthrodesis_implant
MSJ arthrodesis bone graft,msj_arthrodesis_bone_graft
MSJ debridement arthroplasty type,msj_debridement_arthroplasty_type
MSJ interposition material,msj_interposition_material
MSJ stabilisation type,msj_stabilisation_type
MSJ capsule ligament repair type,msj_capsule_ligament_repair_type
MSJ capsule ligament to bone fixation proximal,msj_capsule_ligament_to_bone_fixation_proximal
MSJ capsule ligament to bone fixation type distal,msj_capsule_ligament_to_bone_fixation_type_distal
MSJ capsule ligament recon implant graft type    ,msj_capsule_ligament_recon_implant_graft_type
MSJ capsule ligament recon fixation type proximal    ,msj_capsule_ligament_recon_fixation_type_proximal
MSJ capsule ligament recon fixation type distal,msj_capsule_ligament_recon_fixation_type_distal
MSJ avulsion fracture bone fixation,msj_avulsion_fracture_bone_fixation
MSJ spanning bone fixation,msj_spanning_bone_fixation
MSJ bone recon bone graft type    ,msj_bone_recon_bone_graft_type
MSJ bone recon bone graft fixation type,msj_bone_recon_bone_graft_fixation_type
MSJ bone recon bone graft location,msj_bone_recon_bone_graft_location
MSJ arthrolysis techniques,msj_arthrolysis_techniques
MSJ articular cartilage techniques,msj_articular_cartilage_techniques
MSJ biopsy tissue,msj_biopsy_tissue
MSJ periarticular cyst treatment    ,msj_periarticular_cyst_treatment
MSJ reduction type    ,msj_reduction_type
MSJ extent of implant removal,msj_extent_of_implant_removal
MSJ implants removed,msj_implants_removed
MSJ implants retained,msj_implants_retained
MSJ treatment other,msj_treatment_other
MSJ technique details ,msj_technique_details
MSJ implant details,msj_implant_details
MSJ intraoperative complications,msj_intraoperative_complications
SCJ treatment,scj_treatment
SCJ arthrodesis type,scj_arthrodesis_type
SCJ arthrodesis implant ,scj_arthrodesis_implant
SCJ arthrodesis bone graft ,scj_arthrodesis_bone_graft
SCJ debridement arthroplasty type,scj_debridement_arthroplasty_type
SCJ interposition material,scj_interposition_material
SCJ arthroplasty replacement primary,scj_arthroplasty_replacement_primary
SCJ arthroplasty replacement revision,scj_arthroplasty_replacement_revision
SCJ stabilisation type ,scj_stabilisation_type
SCJ capsule ligament repair type ,scj_capsule_ligament_repair_type
SCJ capsule ligament to bone repair proximal,scj_capsule_ligament_to_bone_repair_proximal
SCJ capsule ligament to bone repair distal,scj_capsule_ligament_to_bone_repair_distal
SCJ anterior capsule ligament recon graft type ,scj_anterior_capsule_ligament_recon_graft_type
SCJ ant capsule ligament recon fixation prox,scj_ant_capsule_ligament_recon_fixation_prox
SCJ ant capsule ligament recon fixation dist,scj_ant_capsule_ligament_recon_fixation_dist
SCJ posterior capsule ligament recon graft type ,scj_posterior_capsule_ligament_recon_graft_type
SCJ post capsule ligament recon fixation prox,scj_post_capsule_ligament_recon_fixation_prox
SCJ post capsule ligament recon fixation dist,scj_post_capsule_ligament_recon_fixation_dist
SCJ CC ligament recon graft type ,scj_cc_ligament_recon_graft_type
SCJ CC ligament recon fixation proximal ,scj_cc_ligament_recon_fixation_proximal
SCJ CC ligament recon fixation distal ,scj_cc_ligament_recon_fixation_distal
SCJ avulsion fracture fixation,scj_avulsion_fracture_fixation
SCJ joint spanning fixation ,scj_joint_spanning_fixation
SCJ bone recon bone graft ,scj_bone_recon_bone_graft
SCJ bone recon bone graft fixation ,scj_bone_recon_bone_graft_fixation
SCJ bone recon bone graft location ,scj_bone_recon_bone_graft_location
SCJ arthrolysis techniques,scj_arthrolysis_techniques
SCJ articular cartilage techniques,scj_articular_cartilage_techniques
SCJ biopsy tissue,scj_biopsy_tissue
SCJ periarticular cyst treatment,scj_periarticular_cyst_treatment
SCJ reduction type,scj_reduction_type
SCJ extent of implant removal,scj_extent_of_implant_removal
SCJ implants removed,scj_implants_removed
SCJ implants retained,scj_implants_retained
SCJ treatment of infection,scj_treatment_of_infection
SCJ treatment other,scj_treatment_other
SCJ technique details,scj_technique_details
SCJ implant details,scj_implant_details
SCJ intraoperative complications,scj_intraoperative_complications
Scapula treatment location,scapula_treatment_location
Scapula body treatment,scapula_body_treatment
Scapula body fracture reduction,scapula_body_fracture_reduction
Scapula body fixation technique,scapula_body_fixation_technique
Scapula body recon bone graft type,scapula_body_recon_bone_graft_type
Scapula body recon bone graft fixation type,scapula_body_recon_bone_graft_fixation_type
Scapula body osteotomy location,scapula_body_osteotomy_location
Scapula body osteotomy type,scapula_body_osteotomy_type
Scapula body extent of removal of implants,scapula_body_extent_of_removal_of_implants
Scapula body implants removed,scapula_body_implants_removed
Scapula body implants retained,scapula_body_implants_retained
Scapula body treatment of infection,scapula_body_treatment_of_infection
Scapula body treatment other,scapula_body_treatment_other
Scapula body technique details,scapula_body_technique_details
Scapula body implant details,scapula_body_implant_details
Scapula body intraoperative complications,scapula_body_intraoperative_complications
Scapula neck treatment,scapula_neck_treatment
Scapula neck fracture reduction,scapula_neck_fracture_reduction
Scapula neck fixation technique,scapula_neck_fixation_technique
Scapula neck recon bone graft type,scapula_neck_recon_bone_graft_type
Scapula neck recon bone graft fixation type,scapula_neck_recon_bone_graft_fixation_type
Scapula neck osteotomy location,scapula_neck_osteotomy_location
Scapula neck osteotomy type,scapula_neck_osteotomy_type
Scapula neck extent of removal of implants,scapula_neck_extent_of_removal_of_implants
Scapula neck implants removed,scapula_neck_implants_removed
Scapula neck implants retained,scapula_neck_implants_retained
Scapula neck treatment of infection,scapula_neck_treatment_of_infection
Scapula neck treatment other,scapula_neck_treatment_other
Scapula neck technique details,scapula_neck_technique_details
Scapula neck implant details,scapula_neck_implant_details
Scapula neck intraoperative complications,scapula_neck_intraoperative_complications
Glenoid treatment,glenoid_treatment
Glenoid fracture reduction,glenoid_fracture_reduction
Glenoid fixation technique,glenoid_fixation_technique
Glenoid recon bone graft type,glenoid_recon_bone_graft_type
Glenoid recon bone graft fixation type,glenoid_recon_bone_graft_fixation_type
Glenoid osteotomy location,glenoid_osteotomy_location
